采集时间,当日辐照量(kWh/㎡),当日平均气温(℃),相对湿度(%)
2023/10/1,4.26,22.5,0
2023/10/2,4.39,21.1,0
2023/10/3,2.96,22.5,0
2023/10/4,2.36,22.5,0
2023/10/5,3.17,20.6,0
2023/10/6,1.78,19,0
2023/10/7,1.35,18.4,0
2023/10/8,2.18,18.5,0
2023/10/9,2.04,18.1,0
2023/10/10,3.98,19.1,0
2023/10/11,3.55,19.1,0
2023/10/12,4.15,18.8,0
2023/10/13,2.22,19.3,0
2023/10/14,3.29,18.4,0
2023/10/15,5.1,18.9,0
2023/10/16,5.01,19.2,0
2023/10/17,5.04,19.3,0
2023/10/18,5.11,19.4,0
2023/10/19,3.83,21.2,0
2023/10/20,1.53,16.7,0
2023/10/21,5.25,,
2023/10/22,4.32,17.1,0
2023/10/23,4.82,18.6,0
2023/10/24,4.76,,
2023/10/25,3.31,20.7,0
2023/10/26,2.83,,
2023/10/27,2.57,,
2023/10/28,3.92,,
2023/10/29,4.59,19.1,0
2023/10/30,4.82,19.3,0
2023/10/31,4.95,,
